assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11694268,57853,Kaloula mediolineata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Kaloula,mediolineata,,,,"Smith, 1917",Near Threatened,,3.1,Decreasing,Global
11705934,57937,Otophryne pyburni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Otophryne,pyburni,,,,"Campbell and Clarke, 1998",Least Concern,,3.1,Unknown,Global
11709143,57966,Plethodontohyla angulifera,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Plethodontohyla,angulifera,,,,"Werner, 1903",Data Deficient,,3.1,Unknown,Global
11710963,58001,Scaphiophryne obscura,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Scaphiophryne,obscura,,,,"(Grandidier, 1872)",Data Deficient,,3.1,Unknown,Global
11711640,58003,Scaphiophryne verrucosa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Scaphiophryne,verrucosa,,,,"Angel, 1930",Data Deficient,,3.1,Unknown,Global
11712656,58006,Stereocyclops incrassatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Stereocyclops,incrassatus,,,,"Cope, 1870",Least Concern,,3.1,Stable,Global
11713062,58007,Stereocyclops parkeri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Stereocyclops,parkeri,,,,"(Wettstein, 1934)",Least Concern,,3.1,Stable,Global
11716081,58016,Synapturanus mirandaribeiroi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Synapturanus,mirandaribeiroi,,,,"Nelson and Lescure, 1975",Least Concern,,3.1,Stable,Global
11716669,58018,Synapturanus salseri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Synapturanus,salseri,,,,"Pyburn, 1975",Least Concern,,3.1,Stable,Global
11717668,58021,Chiasmocleis tridactyla,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Chiasmocleis,tridactyla,,,,"(Duellman &amp; Mendelson, 1995)",Least Concern,,3.1,Stable,Global
11717889,58022,Uperodon globulosus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Uperodon,globulosus,,,,"(Günther, 1864)",Least Concern,,3.1,Stable,Global
11722358,58050,Pseudophryne raveni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MYOBATRACHIDAE,Pseudophryne,raveni,,,,"Ingram and Corben, 1994",Least Concern,,3.1,Stable,Global
